file,sha256,run_id,authority,dataset_sha
01_FINAL_RND_REPORT.md,269225b7b728141502a289df3cf5bbafc3b39d358404705226295fd70988cd4b,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
02_EXECUTIVE_SUMMARY.md,f8f857e43a84d7ff1eaa88b85d6f0512e966afef24d46a483b5008249cdea4ba,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
03_DATA_AND_MEASUREMENT_METHOD.md,6cb82429667397c740f6a1b928c706eaadbb1e0a901a28f94199da11c2b442b9,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
04_CODEBOOK_AND_MODELING.md,e04ecb139213c2355d37807ce8a248723d038de20744d1e5625cfa9d7a626845,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
05_STATISTICAL_RESULTS.md,fe4cd1d2842d60412da20cb8a08120a3671b803b3d6c04dfa3c655b4378b4acb,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
06_PRODUCT_CONCEPT_AND_POSITIONING.md,06ba3b1ed59abcc1ad21939be2b8e48d3dd0a88cccf13662565775f8a8b794dd,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
07_VALIDATION_ROADMAP.md,3b0986d354abf145835a89b1a18f3c19f9a832e35206e53bbc70c66186b805fa,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
08_HARNESS_ORCHESTRATION_AND_TRACEABILITY.md,eb77d3a1f776a5628f55a4c40f36cc5072a1b55a1bafba05ca87f4a9fbe93573,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
09_SOURCE_AND_CLAIM_LEDGER.md,03d0a7730544a9b554cdfdea02469fb0b79646299f9540aea8e38148723a27cd,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
10_PRESENTATION_3SLIDE_EVIDENCE_PACK.md,92aac07debdd82d731d653dabc92241f0e9d06496918627e81c3b494326de19c,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
FINAL_RUN_REPORT_v2.4.1.md,d315295dd66f7bffa8e0954021b96ab92460e5cf8cf68dfa8c61450bbbc64ef7,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
QUALITY_GATE_Q1_Q13.md,ec861e1045d6ff0456e4b827d18934aecdcf298907c42b4719a33c870aabff0d,RUN-20260902-V24-RECOVERY-001,PRESENTATION_FIRST_NEVO_V2.4 (main 8e8c74d) + v2.3 harness,f8d130c217a570cccd295c35a21ad16a0f6ccae275c1c80a4cb9f5cad1153594
